id	year	month	day	hour	minute	sex	age	handedness	message_viewing_time	block	trial_num	trial_initiation_time	fixation_duration	cue_modality	cue_location	target_location	target_modality	target_response_key	target_response_rt	pre_target_response	feedback_response	recalibration	blink	saccade	biggest_small_saccade	critical_blink	critical_saccade
p03	2015	07	02	14	35	f	21	l	47.204467208	1	11	0.683145009971	1.02309389083	visual	left	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	12	0.847380156978	1.35056560761	tactile	left	left	visual	NA	527.337260079	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	13	0.606314590957	1.29486103477	visual	right	right	tactile	NA	357.731321885	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	14	0.628725748975	1.17670680581	visual	left	right	visual	NA	511.210612836	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	15	0.461958839034	1.29832801879	tactile	left	left	visual	NA	656.03053791	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	16	0.497083341994	0.786047763687	visual	right	right	tactile	NA	399.105653982	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	17	2.30825248	1.13233987739	tactile	right	right	visual	NA	678.25882032	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	18	0.74170399399	1.39042928428	tactile	left	catch	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	19	0.607630739978	0.966677886043	visual	right	right	visual	NA	533.717724669	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	20	0.686074671976	0.58518489082	tactile	right	left	visual	NA	392.805602809	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	21	0.460491282982	0.825567646499	visual	right	catch	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	22	1.02747451299	0.657047495422	tactile	left	left	visual	NA	980.293922243	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	23	1.77207938	0.711460598216	tactile	left	right	visual	NA	479.090955399	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	24	0.738390312996	0.919373967985	tactile	right	right	visual	NA	390.34563466	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	25	0.713829917018	0.969745644572	visual	right	left	visual	NA	622.321269067	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	26	0.716383331979	1.07679228636	tactile	left	right	visual	NA	510.505327315	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	27	1.779904361	0.912605592632	visual	right	right	visual	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	28	3.13857223501	1.17028930353	tactile	right	right	tactile	NA	629.232097184	FALSE	FALSE	FALSE	TRUE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	29	28.245211153	1.09475883974	tactile	right	left	tactile	NA	567.919530906	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	30	0.839119932032	1.10918168141	tactile	right	right	tactile	NA	804.267550237	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	31	0.570044932014	0.66591667168	tactile	right	left	visual	NA	420.902798942	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	TRUE
